Timestamp,veh_id,CBR,neighbors,SNR,Reward
1.0,veh1,0.25,15,31.077709838025935,0.1134707212202584
1.0,veh27,0.45,24,4.715699443759118,0.3541866855031036
1.0,veh16,0.45,21,17.47968560626442,0.8351558962889212
1.0,veh2,0.45,22,23.266562398605583,0.592280115193493
1.0,veh9,0.45,41,19.74083911038372,0.787385500776594
1.0,veh13,0.35,20,25.057128147999613,0.3628423334905332
1.0,veh4,0.45,25,19.20884110671191,0.8067950034526206
1.0,veh14,0.45,39,24.726413383866657,0.5111077755813086
1.0,veh25,0.45,23,14.035228295655749,0.7284374324044824
1.0,veh28,0.45,15,19.11102094106554,0.8098682370194559
1.0,veh35,0.25,16,27.298061444445143,0.174248796152481
1.0,veh31,0.45,40,28.58659052451499,0.3779523285549856
1.0,veh42,0.45,41,25.430085630423996,0.47731003697809316
1.0,veh12,0.25,12,31.489244916791822,0.11092871350944297
1.0,veh8,0.45,24,20.2289199472511,0.7659703931749275
1.0,veh3,0.45,26,23.7065293948487,0.5665693118502075
1.0,veh36,0.35,23,2.3741216761484054,0.20843363254379912
1.0,veh24,0.35,21,26.368421848267296,0.30699808996698946
1.0,veh33,0.45,21,19.942108348637337,0.7789405957403488
1.0,veh19,0.45,25,14.286545258208452,0.7418626494778846
1.0,veh37,0.45,40,3.6043669883484286,0.3456753695282934
1.0,veh7,0.35,36,14.054493103991577,0.5976107370711409
1.0,veh40,0.25,14,33.749995274006125,0.1034913014247828
1.0,veh20,0.45,39,10.906231332683674,0.544728887408993
1.0,veh44,0.45,32,14.411395096509647,0.748313233320526
1.0,veh6,0.25,12,17.998884622788523,0.598465584481009
1.0,veh21,0.45,25,8.604785496412203,0.4378907513655456
1.0,veh26,0.45,26,9.759635206913803,0.4860186504086254
1.0,veh32,0.45,22,21.357361245821185,0.7064648579782509
1.0,veh43,0.45,39,16.22502305896542,0.8191657670197501
1.0,veh17,0.35,31,17.70493191466439,0.7028650353000019
1.0,veh10,0.45,36,15.978379421476228,0.8125346264037454
1.0,veh11,0.35,36,22.0260879722868,0.5352063818455468
1.0,veh38,0.45,25,19.528841951912973,0.7956467835614417
1.0,veh18,0.35,30,28.257396241614074,0.2526960052287392
1.0,veh5,0.35,36,21.83362602100652,0.5467211841734185
1.0,veh23,0.25,14,27.672411126306166,0.1640689823208593
1.0,veh39,0.45,19,6.702899160524309,0.38373266098970404
