Timestamp,veh_id,CBR,neighbors,SNR,Reward
6.0,veh18,0.25,19,22.764860581437613,0.5760202105029002
6.0,veh1,0.35,12,14.027801181507424,0.6702183219737936
6.0,veh19,0.15,17,30.92561758836552,0.3592260686518408
6.0,veh2,0.15,19,26.591973225489813,0.4256029182888808
6.0,veh7,0.25,12,33.68703344533223,0.40146910017429904
6.0,veh6,0.35,11,25.50903275664954,0.5986857158218895
6.0,veh13,0.25,8,23.839025104160207,0.5537917046943333
6.0,veh14,0.35,7,15.479359246246117,0.7038944137457765
6.0,veh15,0.35,5,31.58855698939483,0.5042549170818231
6.0,veh17,0.25,8,16.349619012728137,0.6485026540379373
6.0,veh8,0.25,10,18.112425960251745,0.6891944814692295
7.0,veh3,0.35,12,32.789590324487015,0.4890848795582843
7.0,veh5,0.15,8,30.955766557857928,0.35881799002721415
7.0,veh11,0.25,9,21.120277708301213,0.6127298470663646
7.0,veh16,0.25,12,30.120330047125133,0.44730587772880276
7.0,veh4,0.15,4,30.782173127186617,0.36117703797953327
7.0,veh20,0.25,11,32.190683220371234,0.4195999818640115
7.0,veh9,0.10223294539909197,6,31.999206762195822,0.3083637626358684
7.0,veh12,0.25,19,28.208554465183518,0.47587972761594655
7.0,veh10,0.15,19,28.860064698674332,0.3888762871235418
7.0,veh18,0.35,12,19.60347855529851,0.726615983956412
7.0,veh1,0.25,18,32.53996434216703,0.4152320033845004
7.0,veh19,0.35,7,31.392098842702403,0.5068341003282955
7.0,veh2,0.35,8,10.23582070424028,0.594048697362243
7.0,veh7,0.25,18,22.270850688924895,0.5866970408811256
7.0,veh6,0.25,12,28.060938737848918,0.4782148279181906
7.0,veh13,0.15,15,18.72715928521236,0.5955883016865671
7.0,veh14,0.15,8,28.835876258319473,0.38924405289206493
7.0,veh15,0.10199415977954943,6,31.559909450652658,0.3138555396131664
7.0,veh17,0.15,8,23.7458906732884,0.4787438419914545
7.0,veh8,0.15,8,18.20473414022195,0.6097297763040603
8.0,veh3,0.25,11,24.174539991968008,0.5471161538326135
8.0,veh5,0.15,8,20.630269830498698,0.5474089845368848
8.0,veh11,0.15,8,18.556377336950593,0.6001661020087168
8.0,veh16,0.25,9,33.324429169586686,0.40572531634713693
8.0,veh4,0.10268871772028325,5,23.200527392520346,0.4535280641939727
8.0,veh20,0.25,13,24.60893667225739,0.5386560040269428
8.0,veh9,0.15,6,30.868034463913194,0.36000738176190816
