Timestamp,veh_id,CBR,neighbors,SNR,Reward
1.0,veh17,0.35,15,19.580061645761745,0.6618374126209474
1.0,veh37,0.45,26,7.379956745844395,0.3996366373202139
1.0,veh44,0.45,20,14.777698466779512,0.7662813646832207
1.0,veh3,0.45,26,26.87733788639981,0.42129527701391534
1.0,veh29,0.25,17,23.588437358140766,0.3391759042404633
1.0,veh22,0.35,17,24.844301143129105,0.37329069084926847
1.0,veh16,0.45,23,11.402522849789896,0.5728633917520848
1.0,veh43,0.45,26,17.873586695722704,0.8337662989097461
1.0,veh24,0.35,22,26.95706615322767,0.28687167007594244
1.0,veh31,0.45,22,27.385204787194922,0.4059886053667967
1.0,veh27,0.45,22,12.807576982944488,0.6570569600565438
1.0,veh26,0.45,26,16.981150114853993,0.8324752051398374
1.0,veh33,0.45,23,18.29715938212169,0.8288456030153066
1.0,veh34,0.35,11,21.379426638878428,0.5733240785382503
1.0,veh35,0.15,16,28.835147476778634,0.07932131898284632
1.0,veh41,0.35,23,27.021307658186853,0.28485813847147484
1.0,veh20,0.45,26,4.3746170317287305,0.35110421361729743
1.0,veh9,0.45,22,27.466104518524297,0.40374978716656845
1.0,veh2,0.45,21,14.671918760996165,0.7612485900680275
1.0,veh15,0.45,23,27.358628936962834,0.40673580727680597
1.0,veh14,0.45,22,18.43049037555654,0.8265764319019268
1.0,veh36,0.35,27,6.287996408529598,0.24374943350832443
1.0,veh39,0.45,18,12.52045639147295,0.639666088805867
1.0,veh19,0.45,24,19.190369200087087,0.8073876537208498
1.0,veh6,0.25,12,16.150558806007155,0.583065955424384
1.0,veh7,0.25,21,14.151897790699026,0.5005275936459825
1.0,veh13,0.35,20,26.298519577451486,0.3095916203162755
1.0,veh18,0.25,18,30.797733635886193,0.11550441069569482
1.0,veh1,0.25,15,18.030210992236253,0.5981449102969334
1.0,veh12,0.25,14,32.334457854917176,0.10707942718924468
1.0,veh4,0.45,23,28.48125201585442,0.3799887957479488
