[2025-07-06 23:52:22] [11.269673347473145, 12.9988431930542]
[2025-07-06 23:52:22] [13.572071075439453, 11.574457168579102]
[2025-07-06 23:52:22] [18.782917022705078, 10.71136474609375]
[2025-07-06 23:52:22] [15.144845008850098, 10.581863403320312]
[2025-07-06 23:52:22] [10.629683494567871, 13.785249710083008]
[2025-07-06 23:52:22] [13.033138275146484, 10.054336547851562]
[2025-07-06 23:52:22] [12.749581336975098, 10.430351257324219]
[2025-07-06 23:52:22] [23.843284606933594, 10.376429557800293]
[2025-07-06 23:52:22] [17.708724975585938, 15.203619003295898]
[2025-07-06 23:52:22] [10.810194969177246, 13.048257827758789]
[2025-07-06 23:52:22] [26.498842239379883, 12.361127853393555]
[2025-07-06 23:52:22] [10.393661499023438, 11.794746398925781]
[2025-07-06 23:52:22] [15.033087730407715, 11.455639839172363]
[2025-07-06 23:52:22] [12.223613739013672, 12.721382141113281]
[2025-07-06 23:52:22] [14.16798210144043, 11.819602966308594]
[2025-07-06 23:52:22] [11.409846305847168, 13.90289306640625]
[2025-07-06 23:52:22] [16.030014038085938, 12.247563362121582]
[2025-07-06 23:52:22] [19.828493118286133, 10.741966247558594]
[2025-07-06 23:52:22] [13.567721366882324, 11.776080131530762]
[2025-07-06 23:52:22] [10.491169929504395, 11.375211715698242]
[2025-07-06 23:52:22] [10.192083358764648, 15.294595718383789]
[2025-07-06 23:52:22] [10.726417541503906, 14.316542625427246]
[2025-07-06 23:52:22] [19.11864471435547, 11.562685012817383]
[2025-07-06 23:52:22] [16.472545623779297, 10.722143173217773]
[2025-07-06 23:52:22] [15.107959747314453, 10.705507278442383]
[2025-07-06 23:52:22] [16.29590606689453, 11.64285659790039]
[2025-07-06 23:52:22] [10.464876174926758, 11.397143363952637]
[2025-07-06 23:52:22] [13.50905704498291, 12.004322052001953]
[2025-07-06 23:52:22] [22.41655158996582, 10.811321258544922]
[2025-07-06 23:52:22] [24.389720916748047, 10.80734920501709]
[2025-07-06 23:52:22] [18.95815658569336, 10.809940338134766]
[2025-07-06 23:52:22] [13.365213394165039, 11.883525848388672]
[2025-07-06 23:52:22] [12.656204223632812, 10.751321792602539]
[2025-07-06 23:52:22] [11.27104663848877, 10.241424560546875]
[2025-07-06 23:52:22] [11.956709861755371, 12.839706420898438]
[2025-07-06 23:52:22] [10.078564643859863, 12.475918769836426]
[2025-07-06 23:52:22] [13.139209747314453, 10.876057624816895]
[2025-07-06 23:52:22] [14.569153785705566, 11.135046005249023]
[2025-07-06 23:52:22] [13.660436630249023, 11.689616203308105]
[2025-07-06 23:52:22] [13.97673511505127, 13.499202728271484]
[2025-07-06 23:52:22] [20.96219825744629, 12.231463432312012]
[2025-07-06 23:52:22] [19.259510040283203, 10.83847427368164]
[2025-07-06 23:52:22] [17.475812911987305, 10.533370971679688]
[2025-07-06 23:52:22] [16.603572845458984, 15.336954116821289]
[2025-07-06 23:52:22] [20.658283233642578, 13.115165710449219]
[2025-07-06 23:52:22] [12.409317016601562, 14.97750473022461]
[2025-07-06 23:52:22] [13.042854309082031, 10.84072208404541]
[2025-07-06 23:52:22] [13.019183158874512, 14.09021282196045]
[2025-07-06 23:52:22] [16.04253387451172, 12.714412689208984]
[2025-07-06 23:52:22] [17.333927154541016, 12.27345085144043]
[2025-07-06 23:52:22] [21.188615798950195, 16.729496002197266]
[2025-07-06 23:52:22] [11.42872428894043, 10.748720169067383]
[2025-07-06 23:52:22] [11.331931114196777, 10.67741584777832]
[2025-07-06 23:52:22] [11.123044967651367, 13.626535415649414]
[2025-07-06 23:52:22] [16.553125381469727, 10.295964241027832]
[2025-07-06 23:52:22] [18.385501861572266, 12.320161819458008]
[2025-07-06 23:52:22] [13.96701431274414, 10.971382141113281]
[2025-07-06 23:52:22] [15.920379638671875, 10.25625228881836]
[2025-07-06 23:52:22] [17.834091186523438, 11.37342643737793]
[2025-07-06 23:52:22] [25.765047073364258, 13.045360565185547]
[2025-07-06 23:52:22] [12.080610275268555, 13.529369354248047]
[2025-07-06 23:52:22] [19.103790283203125, 11.35350513458252]
[2025-07-06 23:52:22] [11.349992752075195, 10.43217945098877]
[2025-07-06 23:52:22] [11.014226913452148, 10.561792373657227]
[2025-07-06 23:52:22] [15.721911430358887, 12.166058540344238]
[2025-07-06 23:52:22] [11.069231986999512, 13.049323081970215]
[2025-07-06 23:52:22] [16.122426986694336, 10.15771770477295]
[2025-07-06 23:52:22] [15.144412994384766, 10.42738151550293]
[2025-07-06 23:52:22] [18.94346809387207, 12.295469284057617]
[2025-07-06 23:52:22] [22.49430274963379, 11.2386474609375]
[2025-07-06 23:52:22] [13.513477325439453, 14.2053861618042]
[2025-07-06 23:52:22] [14.603455543518066, 11.936710357666016]
[2025-07-06 23:52:22] [14.319530487060547, 10.32341194152832]
[2025-07-06 23:52:22] [12.696346282958984, 11.282401084899902]
[2025-07-06 23:52:22] [25.01944923400879, 11.43191146850586]
[2025-07-06 23:52:22] [15.93705940246582, 11.21884536743164]
[2025-07-06 23:52:22] [22.20391082763672, 10.945887565612793]
[2025-07-06 23:52:22] [20.541854858398438, 10.379495620727539]
[2025-07-06 23:52:22] [12.350021362304688, 12.06698989868164]
[2025-07-06 23:52:22] [16.658992767333984, 16.163013458251953]
[2025-07-06 23:52:22] [15.070070266723633, 12.397151947021484]
[2025-07-06 23:52:22] [19.096160888671875, 10.9849271774292]
[2025-07-06 23:52:22] [20.785371780395508, 12.784883499145508]
