Timestamp,veh_id,CBR,neighbors,SNR,Reward
1.0,veh1,0.25,14,19.16311930396576,0.6610205603542656
2.0,veh1,0.25,18,10.231022351342276,0.5170390435878104
3.0,veh1,0.35,23,27.94567159307648,0.5569746517577683
4.0,veh1,0.45,22,20.601970341067176,0.7788579755829506
5.0,veh1,0.45,26,15.48709464470671,0.7810043250607498
6.0,veh1,0.45,22,20.569330355715486,0.7796433238857943
7.0,veh1,0.45,28,32.33582304459234,0.571620773567771
8.0,veh1,0.45,26,17.32093905020308,0.8276424149315758
9.0,veh1,0.45,23,18.186502956974945,0.8409999550111784
10.0,veh1,0.45,17,21.306782866661997,0.762242329986037
11.0,veh1,0.35,18,9.083948305375905,0.5739137696308079
12.0,veh1,0.35,15,28.363890468228753,0.5503661697727851
13.0,veh1,0.25,8,24.82600122266817,0.5345044232236971
14.0,veh1,0.15,14,20.912177459334103,0.5406955285239836
15.0,veh1,0.25,21,19.085564853676615,0.6630444043277478
16.0,veh1,0.45,26,26.975038337404452,0.6498400236854762
17.0,veh1,0.45,27,26.943054105983073,0.6503801238948506
18.0,veh1,0.45,31,25.606474824224016,0.6738301241666516
19.0,veh1,0.6,29,26.72137409440033,0.7695346215497233
20.0,veh1,0.45,27,33.67378528540701,0.5554692553412045
21.0,veh1,0.45,22,16.670886363022273,0.8105641569234034
22.0,veh1,0.45,25,22.71716059550272,0.7308845507231375
23.0,veh1,0.45,22,24.432528252406897,0.6959132210440071
24.0,veh1,0.45,22,26.273098276282845,0.6619167183713373
25.0,veh1,0.45,18,19.46404337479654,0.8070959078027643
26.0,veh1,0.35,13,22.591864513298816,0.6566488857866655
27.0,veh1,0.25,13,31.908752074551124,0.4231880512826097
28.0,veh1,0.25,21,21.948473707699364,0.593824119858718
29.0,veh1,0.45,21,20.974794177550706,0.7699877978735459
30.0,veh1,0.45,22,18.173963854316856,0.8413447932272229
31.0,veh1,0.45,26,11.49870541938598,0.6945795664049126
32.0,veh1,0.45,28,20.95512831899145,0.7704511097307849
33.0,veh1,0.45,28,17.955829446103458,0.8449283905231655
34.0,veh1,0.45,27,30.103061568686204,0.601396783996066
35.0,veh1,0.45,23,24.154711740853802,0.7013533692117615
36.0,veh1,0.45,19,17.218837642888776,0.8249189984476138
37.0,veh1,0.35,16,15.428927545834952,0.7026782944736183
38.0,veh1,0.35,13,28.623604501797494,0.5463389151077352
39.0,veh1,0.25,23,31.220412736075833,0.43218815429193713
40.0,veh1,0.45,21,26.598553113547695,0.6562587696874389
41.0,veh1,0.45,25,24.484544147305204,0.6949039551935323
42.0,veh1,0.45,32,17.260291825910105,0.8260228700872665
43.0,veh1,0.6,26,22.105019833059835,0.859578038932858
44.0,veh1,0.45,24,23.415574203439107,0.7162426047242281
45.0,veh1,0.45,24,27.50412490270048,0.6410434787025359
46.0,veh1,0.45,33,28.008847889890806,0.6328895770887164
47.0,veh1,0.6,31,27.236169626491517,0.7608507776152608
48.0,veh1,0.6,27,32.757996582563706,0.6817788003904108
49.0,veh1,0.45,19,30.264995502007455,0.5991108323963965
50.0,veh1,0.35,12,32.117944724460614,0.4974434115241666
51.0,veh1,0.25,9,31.544790741446807,0.4279039868482891
52.0,veh1,0.15,19,32.06688509288298,0.34424553523461576
53.0,veh1,0.35,19,31.665573443188123,0.5032514694219542
54.0,veh1,0.35,25,19.344677477893892,0.7332396975436508
55.0,veh1,0.45,25,14.600650336393777,0.7601080460075949
56.0,veh1,0.45,28,24.926930724482148,0.686437182826938
57.0,veh1,0.45,31,24.64683135993579,0.6917737714691825
58.0,veh1,0.6,24,21.09932262370926,0.8824503447400329
59.0,veh1,0.45,28,26.541212855108423,0.657248205723925
60.0,veh1,0.45,27,18.394762775992362,0.8353075843433362
61.0,veh1,0.45,25,17.942705187755816,0.8445648538502196
62.0,veh1,0.45,22,5.822037815540616,0.6003368877600983
63.0,veh1,0.45,13,18.773289589644254,0.8251284446207086
64.0,veh1,0.25,14,24.823123104645767,0.5345591432971288
65.0,veh1,0.25,13,5.547596181362394,0.4426446613033944
66.0,veh1,0.25,19,9.216657629759526,0.4992453425872047
67.0,veh1,0.35,20,25.257642558732908,0.6033192044543318
68.0,veh1,0.35,15,33.050272699642335,0.48592381951071056
69.0,veh1,0.25,22,22.20823336096832,0.5880714082055041
70.0,veh1,0.45,19,21.714396324873803,0.7529258116297385
71.0,veh1,0.35,23,22.299349952999016,0.6629961781965891
72.0,veh1,0.45,19,2.504214022479904,0.5575494123464091
73.0,veh1,0.35,16,26.847417597341877,0.5750777452704614
74.0,veh1,0.35,15,26.26347871500914,0.5851624365645063
75.0,veh1,0.25,16,20.58756789967702,0.6253581822784335
76.0,veh1,0.35,14,15.356053922260305,0.7009270146023966
77.0,veh1,0.25,14,30.38525451287923,0.4435802917261153
78.0,veh1,0.25,11,30.072270189379754,0.44798763060099817
79.0,veh1,0.25,14,24.39357646019303,0.5428247619733004
80.0,veh1,0.25,21,32.99028374630975,0.4097241245149199
81.0,veh1,0.45,29,31.582126209496796,0.5812619750371912
82.0,veh1,0.45,25,31.372583312731624,0.5840149255581571
83.0,veh1,0.45,26,27.13939273666754,0.647079746893058
84.0,veh1,0.45,20,24.514827945410428,0.6943176997279163
85.0,veh1,0.35,22,21.456284234207228,0.6818776874046273
86.0,veh1,0.45,20,25.141918861795894,0.6823970867246796
87.0,veh1,0.35,22,29.14068764715127,0.5384917254723876
88.0,veh1,0.45,21,26.78340378906438,0.6530904491157291
89.0,veh1,0.45,18,24.70570456096562,0.6906451874937657
90.0,veh1,0.35,12,28.2849590362079,0.5516016777910568
91.0,veh1,0.25,16,27.80934382667113,0.4822391529678443
92.0,veh1,0.35,22,16.829769176909156,0.7377584927133212
93.0,veh1,0.45,22,27.412260595444156,0.6425523163148907
94.0,veh1,0.45,31,30.41065577034046,0.5970721045401348
95.0,veh1,0.6,30,20.958015806491304,0.8857676665163448
96.0,veh1,0.45,31,23.641360925346437,0.7116293142280246
97.0,veh1,0.6,32,19.319454552891038,0.9261980490873223
98.0,veh1,0.6,29,23.403963796199587,0.8318660127362083
99.0,veh1,0.45,26,16.789553651395682,0.8136359554238436
100.0,veh1,0.45,20,28.29110335765598,0.6284283835171822
101.0,veh1,0.35,22,32.822798556601164,0.488679644242514
102.0,veh1,0.45,13,25.951340584844644,0.667611864577234
103.0,veh1,0.25,18,28.12990779805952,0.47712143806614776
104.0,veh1,0.35,18,13.895334693409033,0.6672781864560298
105.0,veh1,0.35,25,14.050985601647994,0.6707351360640903
106.0,veh1,0.45,28,22.147350321427112,0.7432584561520671
107.0,veh1,0.45,27,9.88036377569626,0.6646203168948582
108.0,veh1,0.45,25,20.590043759386095,0.7791447750953625
109.0,veh1,0.45,25,32.90401893322737,0.5646147451537308
110.0,veh1,0.45,26,31.451312047132436,0.5829768362122627
111.0,veh1,0.45,26,31.06460024119533,0.5881197865075144
112.0,veh1,0.45,21,30.48786481807383,0.595998122895756
113.0,veh1,0.45,19,28.03687838793415,0.632443405393464
114.0,veh1,0.35,16,29.12769409299565,0.5386861654667341
115.0,veh1,0.35,14,32.429800044955364,0.4935236139153757
116.0,veh1,0.25,19,23.06982039818115,0.5695740321084106
117.0,veh1,0.35,19,29.1339120615524,0.5385931001430699
118.0,veh1,0.35,24,11.567005512625462,0.6189810847909892
119.0,veh1,0.45,20,9.440829265758563,0.656937994108723
120.0,veh1,0.35,24,18.327477401621636,0.7602164232298609
121.0,veh1,0.45,25,27.315273494001552,0.6441536726599625
122.0,veh1,0.45,31,33.26460518700243,0.5602819553308972
123.0,veh1,0.6,26,8.162631766627861,0.7510188757888937
124.0,veh1,0.45,21,27.71752074983593,0.6375681078465072
125.0,veh1,0.45,18,21.437457134169797,0.759232598171562
126.0,veh1,0.35,12,26.5669834366029,0.5798800540086688
127.0,veh1,0.25,13,30.560253188042804,0.44114921894458503
128.0,veh1,0.25,11,21.985209487247097,0.5930055099855565
129.0,veh1,0.25,15,18.140640979620315,0.6884162210139562
130.0,veh1,0.25,16,23.5651123339084,0.5593346101494705
131.0,veh1,0.35,17,17.89690227028309,0.7663751292676121
132.0,veh1,0.35,19,16.805297537788416,0.737121945439726
133.0,veh1,0.35,17,24.758204363477322,0.6127188117878585
134.0,veh1,0.35,20,31.50808783520568,0.5053079465829542
135.0,veh1,0.35,18,20.935812777253567,0.6939835844927535
136.0,veh1,0.35,19,30.487418494005635,0.5190812411335974
137.0,veh1,0.35,21,16.977423538748297,0.7416176417460152
138.0,veh1,0.45,17,19.13426184253957,0.8156187537329831
139.0,veh1,0.35,17,23.0454847766062,0.6470075101394354
140.0,veh1,0.35,15,22.867427750319884,0.6507630435510344
141.0,veh1,0.25,9,15.915558629661268,0.6376333368677747
142.0,veh1,0.15,12,28.76987337012275,0.390250091462668
143.0,veh1,0.25,18,24.88905003286316,0.5333079034934716
144.0,veh1,0.35,23,21.625345722869397,0.6780201257780155
145.0,veh1,0.45,26,18.97200961204544,0.8198696464392445
146.0,veh1,0.45,24,7.997126069216917,0.6329847566339919
147.0,veh1,0.45,23,26.877496972774217,0.6514901553264336
148.0,veh1,0.45,22,18.753373553372136,0.8256586976636078
149.0,veh1,0.45,21,22.06180172641807,0.7451502671656962
150.0,veh1,0.45,25,31.413202751468994,0.5834787649927833
151.0,veh1,0.45,22,22.058635579268458,0.7452204556374379
152.0,veh1,0.45,22,32.80426957504019,0.5658287354826457
153.0,veh1,0.45,20,27.648076062363106,0.6386945667616147
154.0,veh1,0.35,15,34.2567954850924,0.47187518439947496
155.0,veh1,0.25,13,27.52535538982507,0.486849715974788
156.0,veh1,0.25,19,27.226033797868393,0.49178859908802475
157.0,veh1,0.35,28,24.274670539212284,0.6220709789228002
158.0,veh1,0.45,33,24.3238103131903,0.6980321201375848
159.0,veh1,0.6,29,14.74923028899061,0.878923763682675
160.0,veh1,0.45,26,24.17830132387492,0.7008881736253822
161.0,veh1,0.45,26,28.77214807352024,0.6209845890137002
162.0,veh1,0.45,22,29.815623693654114,0.6055054175831944
163.0,veh1,0.45,28,27.239153597702092,0.6454165474913331
164.0,veh1,0.45,22,20.481963734785463,0.7817524667017133
165.0,veh1,0.45,17,18.884953579593667,0.8221662967800079
166.0,veh1,0.35,15,9.91995977137361,0.5883985664589213
167.0,veh1,0.25,15,14.071685246849878,0.594274046836275
168.0,veh1,0.25,15,13.591636785884045,0.5836955497061008
169.0,veh1,0.25,26,19.85367229503609,0.6433793911089619
170.0,veh1,0.45,23,19.62308868422398,0.8030410331601103
171.0,veh1,0.45,22,23.890832956555197,0.7065989260395928
172.0,veh1,0.45,22,31.67211154929547,0.5800895588825965
173.0,veh1,0.45,20,28.169275447615753,0.630345358837832
174.0,veh1,0.35,22,31.867792869744918,0.50063709728688
175.0,veh1,0.45,20,32.21326136512294,0.5731612123200909
176.0,veh1,0.35,18,30.331842079647053,0.5212500916059684
177.0,veh1,0.35,17,28.278815299471887,0.5516980727143777
178.0,veh1,0.35,16,22.88334707154663,0.6504257630066514
179.0,veh1,0.35,9,24.28345061662432,0.6218989117610076
180.0,veh1,0.15,14,20.717251491393252,0.5453263429582422
181.0,veh1,0.25,16,14.861907128616181,0.6123139479561297
182.0,veh1,0.35,23,23.284027555120943,0.6420340980570381
183.0,veh1,0.45,31,13.760107401628861,0.7412220862131875
184.0,veh1,0.6,26,20.186692082537867,0.9043415629707293
185.0,veh1,0.45,27,15.95345975881942,0.7924181644320523
186.0,veh1,0.45,29,11.78121873660663,0.7000913130896682
187.0,veh1,0.45,26,18.098068637211792,0.843437124761574
188.0,veh1,0.45,29,16.78880420125119,0.8136164916882469
189.0,veh1,0.45,19,17.426329283015097,0.830469805857377
190.0,veh1,0.35,14,20.958950288092076,0.6934379506477544
191.0,veh1,0.25,12,32.33379002585373,0.4178000866313523
192.0,veh1,0.25,21,31.96605165302643,0.42245425611501153
193.0,veh1,0.45,22,27.61911906648754,0.639165562201514
194.0,veh1,0.45,23,20.84161197611804,0.7731353801639997
195.0,veh1,0.45,25,23.342307070152856,0.7177520826379975
196.0,veh1,0.45,27,7.926784203660733,0.6318660427725686
197.0,veh1,0.45,29,23.41768089640312,0.7161992926264389
198.0,veh1,0.45,32,13.672162579376812,0.739296560258552
199.0,veh1,0.6,31,17.724140352336335,0.9539341127451624
200.0,veh1,0.6,30,8.811020172216864,0.7616365008879072
201.0,veh1,0.45,31,21.663721485789157,0.7540725975662579
202.0,veh1,0.6,25,25.962810680481464,0.7827917033126306
203.0,veh1,0.45,21,25.400174559162007,0.6776072670313045
204.0,veh1,0.45,11,16.3118381720332,0.801392288228778
205.0,veh1,0.25,17,26.600645783953688,0.5023765653038099
206.0,veh1,0.35,21,15.094953359423835,0.6947102054730012
207.0,veh1,0.45,30,13.910845590257479,0.7445444152315317
208.0,veh1,0.45,26,24.112341599785232,0.7021904570287982
209.0,veh1,0.45,23,17.35358968495941,0.8285165912810412
